MODEL,PARAMETERS,PRECISION,RECALL,AUC,F1,ACCURACY,Time
LR,"{'C': 1e-05, 'penalty': 'l1'}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.24897384643554688
LR,"{'C': 1e-05, 'penalty': 'l2'}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.003983497619628906
LR,"{'C': 0.0001, 'penalty': 'l1'}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.002575397491455078
LR,"{'C': 0.0001, 'penalty': 'l2'}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.0026128292083740234
LR,"{'C': 0.001, 'penalty': 'l1'}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.0025644302368164062
LR,"{'C': 0.001, 'penalty': 'l2'}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.002638101577758789
LR,"{'C': 0.01, 'penalty': 'l1'}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.0020215511322021484
LR,"{'C': 0.01, 'penalty': 'l2'}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.002004861831665039
LR,"{'C': 0.1, 'penalty': 'l1'}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.0020020008087158203
LR,"{'C': 0.1, 'penalty': 'l2'}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.0020105838775634766
LR,"{'C': 1, 'penalty': 'l1'}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.0021562576293945312
LR,"{'C': 1, 'penalty': 'l2'}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.0021152496337890625
LR,"{'C': 10, 'penalty': 'l1'}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.0025873184204101562
LR,"{'C': 10, 'penalty': 'l2'}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.0022008419036865234
DT,"{'max_depth': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 2}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.0018382072448730469
DT,"{'max_depth': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 5}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.0017821788787841797
DT,"{'max_depth': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 10}",0.868421052632,0.985074626866,0.492537313433,0.923076923077,0.857142857143,0.0017774105072021484
DT,"{'max_depth': 1, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 2}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.0017962455749511719
DT,"{'max_depth': 1, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 5}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.001766204833984375
DT,"{'max_depth': 1, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 10}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.002017974853515625
DT,"{'max_depth': 5, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 2}",0.861111111111,0.925373134328,0.462686567164,0.892086330935,0.805194805195,0.0019979476928710938
DT,"{'max_depth': 5, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 5}",0.866666666667,0.970149253731,0.485074626866,0.915492957746,0.844155844156,0.0018694400787353516
DT,"{'max_depth': 5, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 10}",0.859154929577,0.910447761194,0.455223880597,0.884057971014,0.792207792208,0.0018472671508789062
DT,"{'max_depth': 5, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 2}",0.857142857143,0.89552238806,0.44776119403,0.875912408759,0.779220779221,0.0018453598022460938
DT,"{'max_depth': 5, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 5}",0.859154929577,0.910447761194,0.455223880597,0.884057971014,0.792207792208,0.00183868408203125
DT,"{'max_depth': 5, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 10}",0.866666666667,0.970149253731,0.485074626866,0.915492957746,0.844155844156,0.0018239021301269531
DT,"{'max_depth': 10, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 2}",0.86301369863,0.940298507463,0.470149253731,0.9,0.818181818182,0.0019567012786865234
DT,"{'max_depth': 10, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 5}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.002275705337524414
DT,"{'max_depth': 10, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 10}",0.861111111111,0.925373134328,0.462686567164,0.892086330935,0.805194805195,0.0022735595703125
DT,"{'max_depth': 10, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 2}",0.857142857143,0.89552238806,0.44776119403,0.875912408759,0.779220779221,0.0019421577453613281
DT,"{'max_depth': 10, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 5}",0.75,0.044776119403,0.472388059701,0.0845070422535,0.155844155844,0.0018858909606933594
DT,"{'max_depth': 10, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 10}",0.857142857143,0.89552238806,0.44776119403,0.875912408759,0.779220779221,0.0018916130065917969
DT,"{'max_depth': 1, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 2}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.0017924308776855469
DT,"{'max_depth': 1, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 5}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.0017719268798828125
DT,"{'max_depth': 1, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 10}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.00180816650390625
DT,"{'max_depth': 1, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 2}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.0017704963684082031
DT,"{'max_depth': 1, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 5}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.0018277168273925781
